model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_2_000_000_batching_time_mean,step_2_000_000_update_time_mean,step_2_000_000_batching_time_median,step_2_000_000_update_time_median,step_100_000_train_rmse,step_100_000_val_rmse,step_100_000_test_rmse,step_200_000_train_rmse,step_200_000_val_rmse,step_200_000_test_rmse,step_300_000_train_rmse,step_300_000_val_rmse,step_300_000_test_rmse,step_400_000_train_rmse,step_400_000_val_rmse,step_400_000_test_rmse,step_500_000_train_rmse,step_500_000_val_rmse,step_500_000_test_rmse,step_600_000_train_rmse,step_600_000_val_rmse,step_600_000_test_rmse,step_700_000_train_rmse,step_700_000_val_rmse,step_700_000_test_rmse,step_800_000_train_rmse,step_800_000_val_rmse,step_800_000_test_rmse,step_900_000_train_rmse,step_900_000_val_rmse,step_900_000_test_rmse,step_1_000_000_train_rmse,step_1_000_000_val_rmse,step_1_000_000_test_rmse,step_1_100_000_train_rmse,step_1_100_000_val_rmse,step_1_100_000_test_rmse,step_1_200_000_train_rmse,step_1_200_000_val_rmse,step_1_200_000_test_rmse,step_1_300_000_train_rmse,step_1_300_000_val_rmse,step_1_300_000_test_rmse,step_1_400_000_train_rmse,step_1_400_000_val_rmse,step_1_400_000_test_rmse,step_1_500_000_train_rmse,step_1_500_000_val_rmse,step_1_500_000_test_rmse,step_1_600_000_train_rmse,step_1_600_000_val_rmse,step_1_600_000_test_rmse,step_1_700_000_train_rmse,step_1_700_000_val_rmse,step_1_700_000_test_rmse,step_1_800_000_train_rmse,step_1_800_000_val_rmse,step_1_800_000_test_rmse,step_1_900_000_train_rmse,step_1_900_000_val_rmse,step_1_900_000_test_rmse,step_2_000_000_train_rmse,step_2_000_000_val_rmse,step_2_000_000_test_rmse
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,1,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_1/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_1/profiling_job.sh,74,0.000526694800973,0.002474926473379,0.000515699386597,0.002375602722168,0.33091814,0.3230747,0.33414684,0.2433862,0.24034301,0.23431441,0.22106808,0.21802432,0.1624375,0.14916246,0.14486117,0.14576238,0.13135301,0.13134186,0.13095648,0.22846676,0.23125748,0.22894773,0.10707215,0.11521434,0.10310605,0.09518263,0.0992759,0.10512006,0.0937863,0.09790111,0.09744258,0.08706117,0.09229779,0.09792146,0.1120839,0.1187493,0.1163088,0.07831696,0.08553595,0.08369568,0.0615887,0.06980125,0.06852501,0.0642396,0.08905809,0.08641571,0.05836134,0.07164764,0.06466837,0.06093525,0.07833069,0.06827408,0.07218582,0.08603652,0.07763881,0.05493486,0.0433828,0.06305749,0.0421377,0.0688313,0.06267102,0.04984953,0.06561353,0.05750484
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,2,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_2/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_2/profiling_job.sh,74,0.000498702027917,0.002391435980082,0.000486850738525,0.002294540405273,0.33915356,0.329584,0.34416598,0.23796109,0.23078625,0.22113619,0.20326915,0.19717698,0.1536834,0.15637719,0.1161482,0.15342578,0.12588629,0.1287724,0.12713342,0.20090537,0.20154692,0.20263935,0.15330692,0.1224064,0.1236615,0.09777821,0.09954683,0.10084587,0.14304791,0.14477986,0.14695759,0.08107024,0.08202505,0.0906393,0.09006682,0.09400253,0.09976449,0.09916521,0.10025812,0.10235406,0.08127303,0.0866058,0.08791531,0.06618449,0.0758708,0.07275594,0.0568764,0.07916972,0.07792473,0.05765385,0.06555814,0.06392603,0.06743315,0.07822449,0.07406169,0.05314701,0.06403184,0.06235243,0.05842207,0.06855502,0.06538861,0.0555267,0.07988128,0.07605567
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,3,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_3/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_3/profiling_job.sh,74,0.000499831610322,0.002400192044616,0.000488042831421,0.002297401428223,0.34019826,0.33211534,0.35451354,0.24092142,0.23224778,0.22604299,0.2133709,0.20848883,0.21581376,0.16986827,0.16872587,0.17403555,0.13346603,0.13595732,0.13181977,0.2068417,0.20585764,0.20707018,0.11581761,0.19380342,0.12029363,0.0687937,0.10913254,0.10028831,0.13901962,0.14288931,0.14314575,0.08049888,0.08607061,0.08324718,0.09458929,0.10660195,0.09904261,0.08637838,0.09163286,0.09107386,0.06893354,0.07454434,0.07613073,0.07504731,0.08272236,0.0617563,0.06870565,0.07531947,0.07974545,0.05740189,0.06467026,0.06558154,0.07385915,0.08103635,0.0802975,0.07390584,0.08166202,0.08102354,0.05333738,0.06474401,0.06418242,0.05049376,0.06157425,0.05719181
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,4,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_4/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_4/profiling_job.sh,74,0.00051715809536,0.002461197329879,0.000506162643433,0.002361536026001,0.34429988,0.33813023,0.35956327,0.24545908,0.2485688,0.23899386,0.1861615,0.18325955,0.18512119,0.1156829,0.15220878,0.15168615,0.13645054,0.13791012,0.13750148,0.20427913,0.21370629,0.20514852,0.11366404,0.0805622,0.11576966,0.10918517,0.11373001,0.1123393,0.10753136,0.1090297,0.11204343,0.09009339,0.09382061,0.09227078,0.10073405,0.10419124,0.10542626,0.07514649,0.0535682,0.08750966,0.06543582,0.07170717,0.07477694,0.07358728,0.07955281,0.08315117,0.0490928,0.07207908,0.07891536,0.06566586,0.07250162,0.07521241,0.07010589,0.07919125,0.08162447,0.0567763,0.0685933,0.07421701,0.05511538,0.06375283,0.06604043,0.05188106,0.06290761,0.06119862
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,5,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_5/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_5/profiling_job.sh,74,0.000521540822148,0.002468988160133,0.000510931015015,0.002366781234741,0.33032545,0.32243177,0.33314424,0.25309008,0.24981325,0.24470676,0.23167318,0.2246991,0.23562326,0.1085866,0.14336391,0.14570038,0.13852983,0.13456662,0.13626769,0.2028948,0.2053382,0.1696608,0.1003671,0.10309217,0.10538368,0.08922387,0.08971713,0.0637546,0.10009432,0.10102276,0.10400768,0.08903335,0.09196562,0.09894892,0.11514507,0.1348625,0.12452536,0.08510377,0.0634459,0.09099402,0.0453738,0.0477265,0.07001165,0.0728329,0.08057015,0.07949116,0.05843984,0.06725903,0.06673509,0.05857832,0.07090695,0.06610828,0.07758078,0.08592288,0.08259729,0.0385326,0.06415073,0.06037281,0.0452187,0.06918348,0.06474717,0.04643673,0.05847892,0.037389
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,6,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_6/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_6/profiling_job.sh,74,0.000519423737526,0.002467395555258,0.000507354736328,0.002362728118896,0.33360379,0.2408292,0.34459461,0.24629329,0.23984136,0.23660998,0.20778253,0.1526878,0.20388485,0.14448172,0.14051907,0.14671624,0.12273038,0.12642477,0.12776483,0.25153476,0.25272036,0.25158998,0.13326049,0.13123528,0.13573995,0.09444384,0.09491913,0.09737567,0.12080598,0.12035955,0.12912995,0.0883918,0.08758895,0.08991612,0.10355133,0.10642784,0.10870519,0.08242379,0.08818767,0.08888518,0.08052675,0.08509732,0.0874438,0.0581372,0.08195973,0.0810546,0.07401009,0.079872,0.08283117,0.05797712,0.06587627,0.06835951,0.07178885,0.07853285,0.07943903,0.07507322,0.08299761,0.08400202,0.0552574,0.06614988,0.06485822,0.04651817,0.05951088,0.05410113
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,7,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_7/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_7/profiling_job.sh,74,0.000537874005914,0.002466840889215,0.000527143478394,0.002365827560425,0.32980994,0.32149696,0.33260482,0.26107483,0.25473973,0.25001471,0.21977986,0.161108,0.22064861,0.14708638,0.14366575,0.1102452,0.13933934,0.13988793,0.14045767,0.19581703,0.20086995,0.19722742,0.0855671,0.12364021,0.12102963,0.08676114,0.09122592,0.09251275,0.10195643,0.09916536,0.10384014,0.0577294,0.0588802,0.08482814,0.09724373,0.10002249,0.0735692,0.08510397,0.09002314,0.09194268,0.06065879,0.06905477,0.06967045,0.07290463,0.07956374,0.07909706,0.06264158,0.06992352,0.07076243,0.0612825,0.0695184,0.07015431,0.0683426,0.09181981,0.08787124,0.05869736,0.06987114,0.0700061,0.0538373,0.06481876,0.06468358,0.0361265,0.06038695,0.05709335
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,8,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_8/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_8/profiling_job.sh,74,0.000513830556393,0.002455984735131,0.000502824783325,0.002348184585571,0.33697905,0.32739808,0.34260748,0.2388927,0.23600322,0.23813863,0.23938338,0.23297923,0.23830782,0.14553466,0.13773872,0.13911671,0.11742872,0.11584629,0.0814622,0.24648319,0.24940149,0.24660329,0.0715853,0.10972627,0.10675145,0.0765167,0.0776819,0.10752738,0.16652751,0.16761083,0.140917,0.08607083,0.09302741,0.09414895,0.14295922,0.16727418,0.14967522,0.07263321,0.07657597,0.08354819,0.07976818,0.08496904,0.08675502,0.0654215,0.08733498,0.0872582,0.07757775,0.0813859,0.08081345,0.06117237,0.06874459,0.06668523,0.06278829,0.07226471,0.06907212,0.0361525,0.0386105,0.05768572,0.06088385,0.07119449,0.0685451,0.05021567,0.06138006,0.05667441
MPEU,09_29_46__19_01_2025,qm9,static,True,16,gpu_a100,9,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_9/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/gpu_a100/iteration_9/profiling_job.sh,74,0.000513637346864,0.002414002273321,0.000501871109009,0.002312183380127,0.33088171,0.2369134,0.33441853,0.1912378,0.25100848,0.24514904,0.19931996,0.19325823,0.19739114,0.16598976,0.16411369,0.16501674,0.1365985,0.1003377,0.13653773,0.21771435,0.2198872,0.21829734,0.09456893,0.09883195,0.10095662,0.0972567,0.10171261,0.10281168,0.0696841,0.09648806,0.09861505,0.08851727,0.08907649,0.09174197,0.12422528,0.1295732,0.0900179,0.07632861,0.08405017,0.08007389,0.06093824,0.06864519,0.06729827,0.0559935,0.08124999,0.07967182,0.05739592,0.0677841,0.06410525,0.06041789,0.07269013,0.0677336,0.07121208,0.0828641,0.07701995,0.05509488,0.06602696,0.06349561,0.05833269,0.0479204,0.06601752,0.04881831,0.06148125,0.05832846
MPEU,,qm9,static,True,16,cpu,0,nan,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/static/round_True/16/cpu/iteration_0/profiling_job.sh,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
