model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_100000_train_rmse,step_100000_val_rmse,step_100000_test_rmse,step_100000_batching_time_mean,step_100000_update_time_mean,step_100000_batching_time_median,step_100000_update_time_median
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,0,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_0/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_0/profiling_job.sh,1,0.36574211,0.35897661,0.37600975,0.000650322132111,0.002465315289497,0.000641584396362,0.00240969657898
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,1,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_1/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_1/profiling_job.sh,1,0.31856265,0.31623597,0.2320569,0.000642890684605,0.002469588270187,0.000635147094727,0.002414226531982
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,2,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_2/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_2/profiling_job.sh,1,0.34268778,0.33397723,0.34273002,0.000654233765602,0.002508963310719,0.000645875930786,0.00245475769043
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,3,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_3/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_3/profiling_job.sh,1,0.2736296,0.34932227,0.37167092,0.000641433088779,0.002447817659378,0.00063419342041,0.002395153045654
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,4,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_4/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_4/profiling_job.sh,1,0.2427405,0.2413138,0.33249075,0.000650777978897,0.002456619048119,0.000643014907837,0.002406358718872
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,5,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_5/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_5/profiling_job.sh,1,0.35047914,0.34103854,0.3556083,0.000643827579021,0.002452726402283,0.000636100769043,0.002403974533081
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,6,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_6/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_6/profiling_job.sh,1,0.2395517,0.32079441,0.32657079,0.000651773393154,0.002461202671528,0.000644683837891,0.002403974533081
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,7,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_7/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_7/profiling_job.sh,1,0.33901183,0.32868862,0.34314548,0.000636198663712,0.002443483176231,0.000628471374512,0.002382516860962
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,8,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_8/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_8/profiling_job.sh,1,0.32468142,0.31924024,0.32563894,0.000639644830227,0.002435022134781,0.000631093978882,0.002386331558228
MPEU,15_07_18__30_12_2024,qm9,dynamic,True,16,gpu_a100,9,True,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_9/profiling_job.sh,/u/dansp/batching_both_models_both_datasets_100k_steps_21_3_2024/profiling_experiments/MPEU/qm9/dynamic/round_True/16/gpu_a100/iteration_9/profiling_job.sh,1,0.36268561,0.35160153,0.36499918,0.000655874295235,0.002458104767799,0.000648021697998,0.00240969657898
