,compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,Egap,catalog,nspecies
0,Pt4Yb4,aflow:a7634f582aafb904,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pt1Yb1_ICSD_649871,62,oP8,0.0101,ICSD,2
1,Pt4Yb4,aflow:34e019ec63ae11ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pt1Yb1_ICSD_105847,62,oP8,0.0111,ICSD,2
2,O30V16,aflow:adbf767994c54edf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/O15V8_ICSD_98711,2,aP46,0.0166,ICSD,2
3,Se2Ti1,aflow:49194c177fb39709,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Se2Ti1_ICSD_173923,164,hP3,0.0233,ICSD,2
4,O4Pb2,aflow:649e930cf5f6349d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_647262,136,tP6,0.0235,ICSD,2
5,O4Pb2,aflow:de9b786f4e4d5d8d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_23292,136,tP6,0.0235,ICSD,2
6,O4Pb2,aflow:59936ae84a1ba75d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_34234,136,tP6,0.0236,ICSD,2
7,O4Pb2,aflow:66e125e4727d42dd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_647279,136,tP6,0.0236,ICSD,2
8,O4Pb2,aflow:c688f0fb5f40a834,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_43460,136,tP6,0.0236,ICSD,2
9,O4Pb2,aflow:a7ce8ccb0d37d0b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Pb1_ICSD_647277,136,tP6,0.0237,ICSD,2
10,Ca2P6,aflow:947a3f3e1afa555f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/Ca1P3_ICSD_74479,2,aP8,0.024,ICSD,2
11,Ge4Os2,aflow:dfead6a86268c557,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Ge2Os1_ICSD_43690,12,mS12,0.0253,ICSD,2
12,Cl8W2,aflow:b3f845468594c8cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Cl4W1_ICSD_165263,12,mS20,0.0259,ICSD,2
13,Ca8Pb4,aflow:6dac966aaf0e3e8d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca2Pb1_ICSD_58920,62,oP12,0.0263,ICSD,2
14,O4Sn2,aflow:aaf6d6c5192b6cbd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/O2Sn1_ICSD_262769,136,tP6,0.0266,ICSD,2
