Atomic number,Element,EA_half,IP_half,EA_delta,IP_delta,HOMO,LUMO,rs,s index,rp,p index,rd,d index,rf,f index,atomic_number,atomic_weight,mendeleev_number,melting_point,period,covalent_radius_cordero,en_allen,en_ghosh,en_pauling,atomic_volume,n_valence,HOMO_LUMO_diff
1,H,1.05595894,13.99380654,-1.818743535,-1.081840487,-6.54372184,-6.54372184,0.5403,1,1.381,3,1.3338,7,0.0,0,1,1.008,105.0,14.01,1.0,31.0,13.61,0.2638,2.2,14.1,1,0.0
2,He,3.0049328999999996,26.82680176,3.080200857,27.066836635999998,-15.79457692,1.37683107,0.29600000000000004,1,1.03,3,0.6615,10,0.0,0,2,4.002602,112.0,0.95,1.0,28.000000000000004,24.59,0.442712,,31.8,2,-17.171407990000002
3,Li,0.31887565,5.69022879,0.203820072,5.6074567779999995,-3.22762137,-1.28596186,1.632,2,1.9472,3,9.9999,14,6.7218,7,3,6.94,1.0,553.69,2.0,128.0,5.392,0.105093,0.98,13.1,1,-1.94165951
4,Be,0.77493881,9.51142903,0.68431928,9.562824939,-5.61431602,-1.9841626,1.0849,2,1.2169,3,2.9114,7,0.0,0,4,9.0121831,75.0,1551.0,2.0,96.0,9.323,0.144986,1.57,5.0,2,-3.63015342
5,B,-0.42233973,8.34106073,-0.587733164,8.441791574,-3.98129371,-3.98129371,0.8028,2,0.8370000000000001,3,2.1319,10,0.0,0,5,10.81,81.0,2573.0,2.0,84.0,12.13,0.184886,2.04,4.6,3,0.0
6,C,-1.44762948,11.51179927,-1.609115738,11.630027917,-6.05553729,-3.53940572,0.6399,2,0.6338,3,1.8116,11,0.0,0,6,12.011,87.0,3820.0,2.0,73.0,15.05,0.22477600000000003,2.55,5.3,4,-2.51613157
7,N,0.31489229999999996,14.73535403,0.161836008,14.864712894,-8.25602978,-4.03347551,0.5338,2,0.511,3,1.6995,10,0.0,0,7,14.007,93.0,63.29,2.0,71.0,18.13,0.26493,3.04,17.3,5,-4.222554270000001
8,O,-1.60759553,13.44921669,-1.793244628,13.557865276,-7.092347599999999,-7.092347599999999,0.4588,2,0.4299,3,2.3681,11,0.0,0,8,15.999,99.0,54.8,2.0,66.0,21.36,0.304575,3.44,14.0,6,0.0
9,F,-3.64025549,17.61884045,-3.854483829,17.747329593,-10.14523705,1.00422116,0.4036,2,0.373,3,1.4126,10,0.0,0,9,18.998403163,106.0,53.53,2.0,56.99999999999999,24.8,0.344443,3.98,17.1,7,-11.14945821
10,Ne,2.90620648,22.24974934,2.9580937560000002,22.41949767,-13.25998529,1.7722484,0.3604,2,0.3298,3,2.3994,10,0.0,0,10,20.1797,113.0,48.0,2.0,57.99999999999999,28.31,0.38439,,16.8,8,-15.03223369
11,Na,-0.48994977,5.30922099,-0.537680156,5.321914454,-3.01948764,-1.57754335,1.7709,6,0.2871,3,8.4497,11,0.0,0,11,22.98976928,2.0,370.96,3.0,166.0,5.14,0.093214,0.93,23.7,1,-1.44194429
12,Mg,0.71694929,7.88539281,0.506086539,7.924652971,-4.68147351,-1.30532779,1.3657,6,0.2536,3,5.6,11,0.0,0,12,24.305,76.0,922.0,3.0,141.0,7.646,0.121644,1.31,14.0,2,-3.3761457200000002
13,Al,-0.48536949,5.91081479,-0.582893821,5.947243407999999,-3.00108166,-3.00108166,1.1182,6,1.3993,7,9.9999,14,0.0,0,13,26.9815385,82.0,933.5,3.0,121.0,9.539,0.150078,1.61,10.0,3,0.0
