Refcode,metal,Atomic_number,Atomic_weight,Atomic_redius,M_electronegativity,Polarizability,Electron_affinity,Allen_en,Ghosh_en,Pauling_en,Inchikey
ABAGAO,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,SPBIYDCOCLAZFZ-UHFFFAOYSA-N
ABAVIJ,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,OWVZESVDNQLQPV-UHFFFAOYSA-N
ABAVOP,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,OWVZESVDNQLQPV-UHFFFAOYSA-N
ABAVUV,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,OWVZESVDNQLQPV-UHFFFAOYSA-N
ABINOQ,Zn,30,65.38,1.22,,38.67,,9.395,0.15515179999999998,1.65,BNJMRELGMDUDDB-UHFFFAOYSA-N
ABITEL,Au,79,196.966569,1.36,4.6127765,36.0,2.30863,11.33,0.26137,2.4,WEVYAHXRMPXWCK-UHFFFAOYSA-N
ABITIP,Au,79,196.966569,1.36,4.6127765,36.0,2.30863,11.33,0.26137,2.4,WEVYAHXRMPXWCK-UHFFFAOYSA-N
ABIVEO,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,ICKIXHPQMBNFPT-UHFFFAOYSA-N
ABIXAL02,Pb,82,207.2,1.46,3.7083398,47.0,0.35674316,10.97,0.17791099999999999,1.8,MWVTWFVJZLCBMC-UHFFFAOYSA-N
ABIXAL03,Pb,82,207.2,1.46,3.7083398,47.0,0.35674316,10.97,0.17791099999999999,1.8,MWVTWFVJZLCBMC-UHFFFAOYSA-N
ABOVOF,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,GHNRRIJLWVXZBI-UHFFFAOYSA-N
ABOVUL,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KYQCOXFCLRTKLS-UHFFFAOYSA-N
ABUBOQ,Pu,94,244.06421,1.87,,132.0,,,0.16137,1.3,ZFRSYDCCLUAONG-UHFFFAOYSA-N
ACASOP,Ce,58,140.116,2.04,2.7693,205.0,0.65,,0.16760999999999998,1.12,ZMXDDKWLCZADIW-UHFFFAOYSA-N
ACIGAX,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,KUEHOXVHWKDJJC-UHFFFAOYSA-N
ACONIS,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,LSRLMJVVSQKMPX-JXMROGBWSA-N
ACPRCU,Cu,29,63.546,1.32,3.86319,46.5,1.235,10.96,0.15117160000000002,1.9,OTBHHUPVCYLGQO-UHFFFAOYSA-N
ACUFEL,Cd,48,112.414,1.44,,46.0,,8.995,0.1504066,1.69,PTRATZCAGVBFIQ-UHFFFAOYSA-N
ACUFUB,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,ZLJKWGRECSXQOX-UHFFFAOYSA-N
ACUYAB,Ag,47,107.8682,1.45,3.788117,55.0,1.3019999999999998,11.05,0.1472165,1.93,MZLYZDHQFFAHCC-UHFFFAOYSA-N
ADAXIO,Co,27,58.933194,1.26,3.940505,55.0,0.66225646,10.86,0.14323629999999998,1.88,FDTQOZYHNDMJCM-UHFFFAOYSA-N
ADIQAG,La,57,138.90547,2.07,2.78845,215.0,0.47,,0.163142,1.1,ZMXDDKWLCZADIW-UHFFFAOYSA-N
ADOJEJ,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,WPGHPGAUFIJVJF-UHFFFAOYSA-N
ADOJIN,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,SOSPMXMEOFGPIM-UHFFFAOYSA-N
ADOJOT,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,HWWYDZCSSYKIAD-UHFFFAOYSA-N
ADOKEK,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,SOSPMXMEOFGPIM-UHFFFAOYSA-N
ADOKOU,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,WPGHPGAUFIJVJF-UHFFFAOYSA-N
ADOKUA,Hg,80,200.592,1.32,,33.91,,10.44,0.16899999999999998,1.9,SOSPMXMEOFGPIM-UHFFFAOYSA-N
